,scientific_name,local_names.common,local_names.indonesian,altitude_min,altitude_max,temperature_min,temperature_max,rainfall_min,rainfall_max,ph_min,ph_max,chalky,clay,loamy,peat,rocky,sandy,silt,volcanic
177,Pithecellobium dulce,Madras Thorn,Asam Londo,0,1500,15,40,500,2500,5.0,8.5,0,0,1,0,0,1,0,0
178,Pometia pinnata,Fijian Longan,Matoa,0,1200,20,35,1500,4000,5.5,7.0,0,0,1,0,0,1,0,0
179,Pongamia pinnata,Pongam,Mempari,0,1200,10,40,500,2500,5.0,8.5,0,0,1,0,0,1,0,0
180,Prosopis juliflora,Mesquite,Kayu Babi,0,1500,10,45,200,1200,5.0,9.0,0,0,0,0,1,1,0,0
181,Psidium guajava,Guava,Jambu Biji,0,1500,15,38,1000,3000,4.5,8.2,0,0,1,0,0,1,0,0
182,Pterocarpus indicus,Narra,Angsana,0,800,20,35,1500,4000,5.0,7.5,0,0,1,0,0,1,0,0
183,Pueraria montana,Kudzu,Kudzu,0,2000,-15,40,1000,2500,4.5,8.0,0,0,1,0,0,1,0,0
184,Punica granatum,Pomegranate,Delima,0,1800,-10,40,500,1500,5.5,7.5,0,0,1,0,0,1,0,0
185,Rhizophora mucronata,Red Mangrove,Bakau,0,10,20,32,1500,4000,5.0,8.0,0,1,0,0,0,0,1,0
186,Sandoricum koetjape,Santol,Kecapi,0,800,22,35,1500,3500,5.5,7.0,0,0,1,0,0,1,0,0
187,Santalum album,Indian Sandalwood,Cendana,600,1500,15,38,850,2500,6.0,7.5,0,0,0,0,1,1,0,0
188,Santalum ellipticum,Coastal Sandalwood,Cendana Pantai,0,500,20,35,1000,3000,6.5,8.0,0,0,0,0,1,1,0,0
189,Schefflera heptaphylla,Ivy Tree,Kayu Tujuh Daun,200,2000,10,30,1500,4000,5.0,7.0,0,0,1,0,0,1,0,0
190,Schima wallichii,Needlewood,Puspa,500,2500,5,30,1500,3500,5.0,6.5,0,0,1,0,0,1,0,0
191,Schizolobium parahybum,Brazilian Fern Tree,Jati Belanda,0,1200,18,35,1500,3000,5.5,7.0,0,0,1,0,0,1,0,0
192,Senna didymobotrya,African Senna,Sena Afrika,0,2000,15,35,800,2000,5.0,8.0,0,0,1,0,0,1,0,0
193,Senna siamea,Kassod Tree,Johar,0,1500,18,38,600,2500,5.0,8.5,0,0,1,0,0,1,0,0
194,Sesbania grandiflora,Vegetable Hummingbird,Turis,0,800,20,38,1000,4000,5.0,8.5,0,1,1,0,0,0,0,0
195,Sesbania rostrata,Stem Nodulating Sesbania,Sesbania Berbatang,0,500,22,35,1000,3000,5.5,8.0,0,1,1,0,0,0,0,0
196,Sesbania sesban,Egyptian Sesban,Sesbania,0,2000,10,40,500,2000,5.0,8.5,0,0,1,0,0,1,0,0
197,Shorea javanica,Meranti Jawa,Meranti Jawa,0,800,22,32,2000,4000,5.0,6.5,0,1,1,0,0,0,0,0
198,Styphnolobium japonicum,Japanese Pagoda Tree,Pohon Pagoda,0,2000,-5,35,600,2500,5.0,8.0,0,0,1,0,0,1,0,0
199,Spondias mombin,Yellow Mombin,Kedondong,0,1000,20,38,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
200,Spondias purpurea,Purple Mombin,Kedondong Merah,0,1500,18,38,800,2500,5.0,8.5,0,0,1,0,0,1,0,0
201,Sterculia foetida,Java Olive,Kepuh,0,500,24,35,1000,3000,5.5,7.5,0,0,1,0,0,1,0,0
202,Swietenia macrophylla,Big-leaf Mahogany,Mahoni Daun Lebar,0,1200,18,35,1500,4000,5.0,7.5,0,0,1,0,0,1,0,0
203,Swietenia mahagoni,West Indian Mahogany,Mahoni,0,800,20,35,1200,3000,5.5,7.0,0,0,1,0,0,1,0,0
204,Syzygium aromaticum,Clove,Cengkeh,0,900,22,32,1500,3500,5.0,6.5,0,0,1,0,0,0,0,1
205,Syzygium cumini,Java Plum,Jamblang,0,1800,10,38,1000,3000,5.5,8.0,0,0,1,0,0,1,0,0
206,Syzygium jambos,Rose Apple,Jambu Mawar,0,1200,18,35,1200,2500,5.0,7.5,0,0,1,0,0,1,0,0
207,Syzygium malaccense,Malay Apple,Jambu Bol,0,800,22,35,1500,4000,5.5,7.0,0,0,1,0,0,1,0,0
